"id","navisid","de","en","desc_de","synonym","desc_en","origindesc","fk_id_parent","gettyaat","gettyaatrelationtype","wikidata","wikidatarelationtype"
"461A41",,,,,,,,,,,,
"D347D8",,,,,,,,,,,,
"2FF149",,,,,,,,,,,,
"C13F60",,,,,,,,,,,,
"0F4B66",,,,,,,,,,,,
"168B5A",,,,,,,,,,,,
"F3E541",,,,,,,,,,,,
"88F95C",,,,,,,,,,,,
"B459EF",,,,,,,,,,,,
"67BD7B",,,,,,,,,,,,
"95C8DB",,,,,,,,,,,,
"13F2B1",,,,,,,,,,,,
"2EBC13",,,,,,,,,,,,
"FAB4C6",,,,,,,,,,,,
"E70570",,,,,,,,,,,,
"4E229B",,,,,,,,,,,,
"596C54",,,,,,,,,,,,
"B4CE22",,,,,,,,,,,,
"EF4B11",,,,,,,,,,,,
"B70122",,,,,,,,,,,,
"129CE9",,,,,,,,,,,,
"C0B7C4",,,,,,,,,,,,
"28559A",,,,,,,,,,,,
"B5BBFE",,,,,,,,,,,,
"89E549",,,,,,,,,,,,
"7B54B5",,,,,,,,,,,,
"FA98A1",,,,,,,,,,,,
"36CF71",,,,,,,,,,,,
"C16477",,,,,,,,,,,,
"964FE9",,,,,,,,,,,,
"0957EE",,,,,,,,,,,,
"CDC006",,,,,,,,,,,,
"18FD9E",,,,,,,,,,,,
"B2BDA9",,,,,,,,,,,,
"C4F968",,,,,,,,,,,,
"87F0CA",,,,,,,,,,,,
"4A461F",,,,,,,,,,,,
"91332F",,,,,,,,,,,,
"994D18",,,,,,,,,,,,
"3B58F7",,,,,,,,,,,,
"0275BB",,,,,,,,,,,,
"E04F7C",,,,,,,,,,,,
"B35EF2",,,,,,,,,,,,
"4F2205",,,,,,,,,,,,
"9019C6",,,,,,,,,,,,
"D881F2",,,,,,,,,,,,
"3F1877",,,,,,,,,,,,
"0CF216",,,,,,,,,,,,
"2AD50B",,,,,,,,,,,,
"893DFE",,,,,,,,,,,,
"266B1F",,,,,,,,,,,,
"3D9AC9",,,,,,,,,,,,
"2B715E",,,,,,,,,,,,
"2EB598",,,,,,,,,,,,
"059A0D",,,,,,,,,,,,
"B5A9E3",,,,,,,,,,,,
"F290CB",,,,,,,,,,,,
"5FFFF6",,,,,,,,,,,,
"AE8E71",,,,,,,,,,,,
"0072CA",,,,,,,,,,,,
"E1CD7A",,,,,,,,,,,,
"7ED448",,,,,,,,,,,,
"9AE18A",,,,,,,,,,,,
"7D8CDB",,,,,,,,,,,,
"4F61B4",,,,,,,,,,,,
"3FBCD8",,,,,,,,,,,,
"35549E",,,,,,,,,,,,
"BF6DEF",,,,,,,,,,,,
"6793EA",,,,,,,,,,,,
"7B1656",,,,,,,,,,,,
"829B80",,,,,,,,,,,,
"4D8D79",,,,,,,,,,,,
"8BB1D4",,,,,,,,,,,,
"02A29E",,,,,,,,,,,,
"DA0E5B",,,,,,,,,,,,
"B5D244",,,,,,,,,,,,
"7B283A",,,,,,,,,,,,
"B91F43",,,,,,,,,,,,
"D88168",,,,,,,,,,,,
"89B22A",,,,,,,,,,,,
"39A736",,,,,,,,,,,,
"7E9EC4",,,,,,,,,,,,
"A3D630",,,,,,,,,,,,
"9CCCEC",,,,,,,,,,,,
"8EA514",,,,,,,,,,,,
"9642BC",,,,,,,,,,,,
"86EC5F",,,,,,,,,,,,
"7E882F",,,,,,,,,,,,
"E4CD88",,,,,,,,,,,,
"C81C66",,,,,,,,,,,,
"4AE228",,,,,,,,,,,,
"6B466F",,,,,,,,,,,,
"72BFE0",,,,,,,,,,,,
"F01D89",,,,,,,,,,,,
"C55E08",,,,,,,,,,,,
"0DE711",,,,,,,,,,,,
"0FDF76",,,,,,,,,,,,
"8E9610",,,,,,,,,,,,
"F9E54D",,,,,,,,,,,,
"C7A09C",,,,,,,,,,,,
"5A024E",,,,,,,,,,,,
"D04A2D",,,,,,,,,,,,
"63E0D4",,,,,,,,,,,,
"27311E",,,,,,,,,,,,
"22B9A7",,,,,,,,,,,,
"0B4A92",,,,,,,,,,,,
"B9C153",,,,,,,,,,,,
"B4CEE6",,,,,,,,,,,,
"0696B1",,,,,,,,,,,,
"17A35E",,,,,,,,,,,,
"217EC5",,,,,,,,,,,,
"63AB42",,,,,,,,,,,,
"609C11",,,,,,,,,,,,
"1A8CDE",,,,,,,,,,,,
"3B7D05",,,,,,,,,,,,
"E1E92E",,,,,,,,,,,,
"6ECFA7",,,,,,,,,,,,
"E14676",,,,,,,,,,,,
"2BEAC7",,,,,,,,,,,,
"ED496F",,,,,,,,,,,,
"C1877F",,,,,,,,,,,,
"81E0CA",,,,,,,,,,,,
"5EB6EC",,,,,,,,,,,,
"D95BCA",,,,,,,,,,,,
"C31638",,,,,,,,,,,,
"BCEBA7",,,,,,,,,,,,
"FE81AB",,,,,,,,,,,,
"809FE2",,,,,,,,,,,,
"E4EB71",,,,,,,,,,,,
"7C0094",,,,,,,,,,,,
"71407F",,,,,,,,,,,,
"26105C",,,,,,,,,,,,
"AE24FB",,,,,,,,,,,,
"B58513",,,,,,,,,,,,
"B92D3C",,,,,,,,,,,,
"A46C35",,,,,,,,,,,,
"CB58E1",,,,,,,,,,,,
"7E2D0B",,,,,,,,,,,,
"B8FFB2",,,,,,,,,,,,
"3D3935",,,,,,,,,,,,
"68CBCE",,,,,,,,,,,,
"E385F0",,,,,,,,,,,,
"9EA62C",,,,,,,,,,,,
"B24B2E",,,,,,,,,,,,
"7E619A",,,,,,,,,,,,
"E85E42",,,,,,,,,,,,
"DC28EA",,,,,,,,,,,,
"C1C14F",,,,,,,,,,,,
"E49AF6",,,,,,,,,,,,
"87BEC7",,,,,,,,,,,,
"B1D757",,,,,,,,,,,,
"86AE4B",,,,,,,,,,,,
"1DD36C",,,,,,,,,,,,
"44350E",,,,,,,,,,,,
"D0A20B",,,,,,,,,,,,
"824C11",,,,,,,,,,,,
"98962F",,,,,,,,,,,,
"101FE3",,,,,,,,,,,,
"CD5539",,,,,,,,,,,,
"78C096",,,,,,,,,,,,
"D4E6D5",,,,,,,,,,,,
"0F6A8F",,,,,,,,,,,,
"06515A",,,,,,,,,,,,
"37E4BF",,,,,,,,,,,,
"BAE601",,,,,,,,,,,,
"C773C3",,,,,,,,,,,,
"6E643B",,,,,,,,,,,,
"1AB330",,,,,,,,,,,,
"CCFB21",,,,,,,,,,,,
"5EA58B",,,,,,,,,,,,
"6F3C08",,,,,,,,,,,,
"AFB616",,,,,,,,,,,,
"EF194D",,,,,,,,,,,,
"34E948",,,,,,,,,,,,
"AFEC33",,,,,,,,,,,,
"944D71",,,,,,,,,,,,
"C14D72",,,,,,,,,,,,
"9637FC",,,,,,,,,,,,
"8069D1",,,,,,,,,,,,
"05B3CA",,,,,,,,,,,,
"236D57",,,,,,,,,,,,
"5A0C56",,,,,,,,,,,,
"E0459A",,,,,,,,,,,,
"3342B2",,,,,,,,,,,,
"C5D6FF",,,,,,,,,,,,
"B67A83",,,,,,,,,,,,
"D2FFF5",,,,,,,,,,,,
"64073B",,,,,,,,,,,,
"CBBC6E",,,,,,,,,,,,
"6FFFFB",,,,,,,,,,,,
"F39108",,,,,,,,,,,,
"939A15",,,,,,,,,,,,
"9FE982",,,,,,,,,,,,
"771B9F",,,,,,,,,,,,
"AAE88D",,,,,,,,,,,,
"63CE60",,,,,,,,,,,,
"109D67",,,,,,,,,,,,
"45B19C",,,,,,,,,,,,
"1FAE6B",,,,,,,,,,,,
"CFA939",,,,,,,,,,,,
"2D1A8E",,,,,,,,,,,,
